"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","713","Get meter batches","NEMSA","Tue Sep 09 17:52:14 UTC 2025","passed","Tue Sep 09 17:52:15 UTC 2025","","Get Vendors Meters","",""
"","138","Empty Credentials","NEMSA","Tue Sep 09 17:52:13 UTC 2025","passed","Tue Sep 09 17:52:13 UTC 2025","","Login","",""
"","131","Quick view no token","NEMSA","Tue Sep 09 17:52:14 UTC 2025","passed","Tue Sep 09 17:52:14 UTC 2025","","Quick view","",""
"","135","Certify meter - single request","NEMSA","Tue Sep 09 17:52:15 UTC 2025","failed","Tue Sep 09 17:52:15 UTC 2025","","Certify Meters","",""
"","134","Certify meter - multiple request","NEMSA","Tue Sep 09 17:52:15 UTC 2025","failed","Tue Sep 09 17:52:15 UTC 2025","","Certify Meters","",""
"","135","Invalid meter number","NEMSA","Tue Sep 09 17:52:15 UTC 2025","passed","Tue Sep 09 17:52:15 UTC 2025","","Certify Meters","",""
"","156","login invalid Password","NEMSA","Tue Sep 09 17:52:13 UTC 2025","failed","Tue Sep 09 17:52:13 UTC 2025","","Login","",""
"","126","logout","NEMSA","Tue Sep 09 17:52:16 UTC 2025","passed","Tue Sep 09 17:52:16 UTC 2025","","Logout","",""
"","1009","Quick view","NEMSA","Tue Sep 09 17:52:13 UTC 2025","passed","Tue Sep 09 17:52:14 UTC 2025","","Quick view","",""
"","130","Decline empty batch number","NEMSA","Tue Sep 09 17:52:16 UTC 2025","failed","Tue Sep 09 17:52:16 UTC 2025","","Decline Meter certification","",""
"","135","Get invalid batch","NEMSA","Tue Sep 09 17:52:15 UTC 2025","failed","Tue Sep 09 17:52:15 UTC 2025","","Get Vendors Meters","",""
"","131","Decline empty comment","NEMSA","Tue Sep 09 17:52:16 UTC 2025","failed","Tue Sep 09 17:52:16 UTC 2025","","Decline Meter certification","",""
"","132","Decline a pending batch","NEMSA","Tue Sep 09 17:52:16 UTC 2025","failed","Tue Sep 09 17:52:16 UTC 2025","","Decline Meter certification","",""
"","153","Invalid authorize password","NEMSA","Tue Sep 09 17:52:12 UTC 2025","passed","Tue Sep 09 17:52:12 UTC 2025","","Authorize","",""
"","135","Quick view invalid token","NEMSA","Tue Sep 09 17:52:14 UTC 2025","passed","Tue Sep 09 17:52:14 UTC 2025","","Quick view","",""
"","131","Blank meter number Copy","NEMSA","Tue Sep 09 17:52:15 UTC 2025","passed","Tue Sep 09 17:52:16 UTC 2025","","Certify Meters","",""
"","133","Decline an invalid batch","NEMSA","Tue Sep 09 17:52:16 UTC 2025","failed","Tue Sep 09 17:52:16 UTC 2025","","Decline Meter certification","",""
"","290","login Successful","NEMSA","Tue Sep 09 17:52:12 UTC 2025","passed","Tue Sep 09 17:52:13 UTC 2025","","Login","",""
"","133","Decline a certified batch","NEMSA","Tue Sep 09 17:52:16 UTC 2025","failed","Tue Sep 09 17:52:16 UTC 2025","","Decline Meter certification","",""
"","130","Duplicate seal number","NEMSA","Tue Sep 09 17:52:16 UTC 2025","passed","Tue Sep 09 17:52:16 UTC 2025","","Certify Meters","",""
"","518","authorize","NEMSA","Tue Sep 09 17:52:12 UTC 2025","passed","Tue Sep 09 17:52:12 UTC 2025","","Authorize","",""
